"filename", "language", "JSON", "Properties", "Markdown", "JavaScript", "TypeScript", "CSS", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\filters\filters.component.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 9, 37
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\home.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 3, 10, 52
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 12, 44
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-card\product-card.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-card\product-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-card\product-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-card\product-card.component.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-list.component.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\footer\footer.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\footer\footer.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\footer\footer.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\footer\footer.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\header\header.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\header\header.component.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 20, 71
